length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo
211773,0.777,0.0352,0.896,0.0,0.317,0.843,-4.467,0.0619,111.987
202066,0.652,0.00112,0.698,0.000115,0.0886,0.47,-4.667,0.042,96.021
201122,0.694,0.133,0.712,0.0,0.211,0.799,-3.923,0.046,98.022
289133,0.743,0.0873,0.766,0.0,0.509,0.61,-6.375,0.0265,127.96
229506,0.673,0.039,0.758,0.0,0.341,0.542,-3.632,0.158,135.956
227893,0.638,0.141,0.832,0.0,0.113,0.648,-5.039,0.049,124.071
202613,0.751,0.00379,0.783,0.0,0.036,0.816,-3.724,0.0859,119.975
205933,0.56,0.0239,0.872,6.98e-06,0.371,0.682,-4.269,0.14,126.05
175426,0.72,0.0384,0.791,0.0,0.157,0.756,-4.689,0.124,102.071
235266,0.618,0.17,0.741,0.0,0.0822,0.296,-3.95,0.031,118.984
230120,0.62,0.332,0.832,0.0,0.104,0.481,-4.848,0.036,144.926
230733,0.652,0.00125,0.812,3.01e-05,0.667,0.72,-3.797,0.0409,126.023
216773,0.673,0.185,0.886,0.0,0.0826,0.795,-4.44,0.0431,97.012
185586,0.762,0.015,0.863,0.0,0.125,0.965,-3.689,0.0565,106.008
241933,0.822,0.0264,0.739,4.26e-05,0.181,0.745,-4.541,0.0311,118.992
176658,0.527,0.0166,0.835,0.0,0.249,0.654,-5.298,0.0433,125.983
223053,0.636,0.0294,0.831,3.85e-06,0.272,0.668,-3.945,0.182,175.015
201287,0.673,0.286,0.735,0.0,0.242,0.754,-4.733,0.0457,115.744
199693,0.755,0.0991,0.837,0.0,0.289,0.714,-2.718,0.142,120.028
195973,0.765,0.00107,0.837,1.06e-05,0.0801,0.721,-3.113,0.032,122.028
170826,0.624,0.0735,0.876,0.0,0.327,0.781,-3.374,0.1,99.943
200106,0.652,0.0227,0.877,0.0,0.0789,0.486,-2.986,0.0465,118.491
218227,0.705,0.456,0.78,0.00152,0.115,0.457,-6.267,0.0805,142.028
204160,0.581,0.0295,0.963,0.0,0.139,0.788,-4.087,0.0981,129.992
201493,0.722,0.0117,0.761,0.0,0.315,0.624,-4.459,0.0475,128.044
218093,0.778,0.284,0.824,0.0,0.405,0.758,-5.892,0.0707,100.024
194407,0.687,0.327,0.785,0.0,0.203,0.655,-4.65,0.0333,106.046
211460,0.571,0.0608,0.815,0.0,0.163,0.664,-3.267,0.0321,120.008
206166,0.699,0.0317,0.529,3.59e-05,0.285,0.121,-7.548,0.0487,119.987
202960,0.7,0.0048,0.709,0.0,0.029,0.624,-5.006,0.0838,122.019
252306,0.671,0.191,0.939,0.0,0.298,0.53,-3.206,0.161,129.024
173026,0.768,0.101,0.864,0.0,0.162,0.891,-6.145,0.0324,110.008
194240,0.673,0.0591,0.902,0.000262,0.0558,0.538,-2.392,0.0346,100.012
223546,0.554,0.00487,0.772,6.6e-06,0.354,0.455,-4.821,0.0418,179.984
