label,name,artist
0,Wiggle (feat. Snoop Dogg),Jason Derulo
0,Love Me Now,John Legend
0,All Summer Long,Kid Rock
0,Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI
0,Break Up In A Small Town,Sam Hunt
0,Body Like A Back Road,Sam Hunt
0,Beautiful Girls,Sean Kingston
0,867-5309 / Jenny,Tommy Tutone
0,Pocketful of Sunshine,Natasha Bedingfield
0,"Hey, Soul Sister",Train
0,Stitches,Shawn Mendes
0,Maps,Maroon 5
0,Pompeii,Bastille
0,Everybody Talks,Neon Trees
0,Sk8er Boi,Avril Lavigne
0,Man! I Feel Like A Woman!,Shania Twain
0,Wrecking Ball,Miley Cyrus
0,Brave,Sara Bareilles
0,Rude,MAGIC!
0,She Will Be Loved - Radio Mix,Maroon 5
0,Breaking Free,Troy
0,What I've Been Looking For,Ryan
0,All-American Girl,Carrie Underwood
0,When It Rains It Pours,Luke Combs
0,Sixteen,Thomas Rhett
0,Hurricane,Luke Combs
0,Small Town Boy,Dustin Lynch
0,Heartache On The Dance Floor,Jon Pardi
0,"God, Your Mama, And Me",Florida Georgia Line
0,All the Pretty Girls,Kenny Chesney
0,Star Of The Show,Thomas Rhett
0,Yours If You Want It,Rascal Flatts
0,More Girls Like You,Kip Moore
0,A Guy with a Girl,Blake Shelton
0,Song for Another Time,Old Dominion
0,Grave,Thomas Rhett
0,Five More Minutes,Scotty McCreery
0,Think a Little Less,Michael Ray
0,Die A Happy Man,Thomas Rhett
0,Fast,Luke Bryan
0,Drinkin' Problem,Midland
0,Dirt On My Boots,Jon Pardi
0,May We All,Florida Georgia Line
0,Yours,Russell Dickerson
0,Flatliner (feat. Dierks Bentley),Cole Swindell
0,T-Shirt,Thomas Rhett
0,Every Time I Hear That Song,Blake Shelton
0,Make You Miss Me,Sam Hunt
0,I Like The Sound Of That,Rascal Flatts
0,Middle of a Memory,Cole Swindell
0,American Country Love Song,Jake Owen
0,H.O.L.Y.,Florida Georgia Line
0,If I Told You,Darius Rucker
0,No Such Thing as a Broken Heart,Old Dominion
0,How Not To,Dan + Shay
0,My Girl,Dylan Scott
0,Crash and Burn,Thomas Rhett
0,I'm Comin' Over,Chris Young
0,Hometown Girl,Josh Turner
0,Black,Dierks Bentley
0,For Her,Chris Lane
0,House Party,Sam Hunt
0,From the Ground Up,Dan + Shay
0,Backroad Song,Granger Smith
0,Yeah Boy,Kelsea Ballerini
0,Head Over Boots,Jon Pardi
0,Break Up with Him,Old Dominion
0,Confession,Florida Georgia Line
0,Stay A Little Longer,Brothers Osborne
0,Leave The Night On,Sam Hunt
0,Humble And Kind,Tim McGraw
0,Wasted Time,Keith Urban
0,Think of You,Chris Young
0,You Look Good,Lady A
0,Somebody Else Will,Justin Moore
0,Party In The U.S.A.,Miley Cyrus
0,Legends,Kelsea Ballerini
0,Round Here Buzz,Eric Church
0,Better Man,Little Big Town
0,Somewhere On A Beach,Dierks Bentley
0,Fix a Drink,Chris Janson
0,Firework,Katy Perry
0,Fight Song,Rachel Platten
0,Blue Ain't Your Color,Keith Urban
0,The Way I Talk,Morgan Wallen
0,Record Year,Eric Church
0,Drunk On A Plane,Dierks Bentley
0,Last Time for Everything,Brad Paisley
0,I'd Be Jealous Too,Dustin Lynch
